appid,genre
3386200,RPG
3465740,Adventure
3465740,Indie
3465740,Simulation
3465740,Strategy
3014470,RPG
2599070,Action
2599070,Indie
2599070,Strategy
2445340,Casual
2445340,RPG
2445340,Simulation
2002510,Action
2002510,Adventure
2002510,Casual
2002510,Indie
2002510,Strategy
3685920,Indie
3685920,Strategy
3685920,Free To Play
3600970,Action
3600970,Casual
3600970,Indie
3465680,Casual
3386150,Action
3386150,Indie
3386150,Early Access
3215120,Casual
3215120,Indie
3215120,Strategy
3055780,Action
3055780,Indie
3014460,Adventure
3014460,Casual
2203510,Action
2203510,Adventure
2203510,Indie
2203510,Simulation
2203510,Sports
2599060,Action
2599060,Adventure
2599060,Indie
2599060,Simulation
2599060,Strategy
2445330,Adventure
2445330,Massively Multiplayer
2445330,RPG
2445330,Strategy
2445330,Free To Play
2445330,Early Access
1789060,Casual
1789060,Indie
1580180,Action
1580180,Adventure
1587180,Casual
1587180,Indie
1587180,Free To Play
1399210,Adventure
1399210,Casual
1399210,Indie
1981530,Action
1981530,Adventure
1981530,Massively Multiplayer
1981530,RPG
1981530,Strategy
1981530,Early Access
3600960,Adventure
3600960,Casual
3600960,Indie
3600960,RPG
3600960,Strategy
3600960,Early Access
3465660,Adventure
3465660,Indie
3215110,Action
3215110,Casual
3215110,RPG
2203500,Adventure
2203500,Indie
2203500,Racing
2203500,Simulation
2599050,Casual
2599050,Indie
1543470,Adventure
1543470,Casual
1543470,Indie
1543470,Simulation
1543470,Strategy
3685890,Adventure
3685890,Casual
3685890,Indie
3685890,Early Access
3465510,Casual
3465510,Indie
3465510,RPG
3215100,Action
3215100,Indie
3055710,Casual
3055710,Indie
3014380,Adventure
3014380,Casual
3014380,Indie
2203480,Adventure
2203480,Casual
2203480,Indie
2203480,Simulation
2203480,Strategy
3685850,Action
3685850,Adventure
3685850,Indie
3600940,Action
3600940,Adventure
3600940,Indie
3215080,Casual
3215080,Indie
3215080,Simulation
3600820,RPG
3600820,Free To Play
3600820,Early Access
3685740,Casual
3685740,RPG
3685740,Strategy
3685740,Free To Play
3215030,RPG
3014320,RPG
3055630,Action
3055630,Adventure
3055630,Casual
3055630,Indie
2203350,Adventure
2203350,Casual
2598980,Adventure
2598980,Racing
2598980,Free To Play
1580150,Adventure
1580150,Casual
1580150,Indie
1789050,Adventure
1789050,RPG
3600810,Casual
3600810,Indie
3386010,Action
3055610,Casual
3055610,Indie
3214970,Casual
3214970,Indie
3014310,Adventure
3014310,Indie
2203320,Casual
2203320,Indie
2203320,Early Access
2598970,Indie
2598970,Racing
2598970,Simulation
2598970,Sports
3685670,Adventure
3685670,Casual
3685670,Indie
3685670,Strategy
1543460,Adventure
1543460,Casual
1543460,Indie
3600800,Action
3600800,Indie
3600800,Sports
3465390,Action
3465390,Casual
3465390,Indie
3465390,Simulation
3465390,Sports
3055600,Action
3214910,Casual
3214910,Indie
3214910,Simulation
2598960,Action
3014240,Action
3014240,Indie
2445160,Indie
2445160,Strategy
2445160,Early Access
3600770,Action
3600770,Casual
3685650,Casual
3465370,Indie
3465370,Early Access
3385960,Action
3385960,Strategy
3385960,Early Access
3055590,Casual
3055590,Indie
3055590,Racing
3014230,Indie
3014230,Early Access
2445140,Casual
2445140,Indie
1521050,Casual
1521050,Indie
1521050,Racing
1521050,Simulation
1598810,Casual
1598810,Indie
1598810,Simulation
1724570,Casual
1724570,Indie
1724570,Simulation
3465310,Action
3465310,Adventure
3465310,Casual
3465310,Indie
3465310,Racing
3214880,Indie
3214880,RPG
3214880,Simulation
3214880,Free To Play
3385920,Indie
3385920,Simulation
3385920,Strategy
3055580,Action
3055580,Adventure
3055580,Strategy
2445130,Action
2445130,Adventure
2445130,Casual
2445130,Indie
2445130,RPG
2445130,Simulation
3014150,Casual
3014150,Indie
2598940,Strategy
2002480,Casual
2002480,Indie
2002480,Racing
2002480,Simulation
1906040,Casual
1906040,Indie
1906040,Simulation
1906040,Sports
1906040,Strategy
3685600,Action
3685600,Casual
3685600,Indie
3685600,RPG
3600730,Casual
3600730,Indie
3600730,Simulation
3600730,Strategy
3214870,Action
3214870,Adventure
3055550,Indie
3055550,Simulation
3055550,Early Access
2598930,Indie
2598930,Simulation
1580140,Casual
1789030,Adventure
1789030,Casual
1789030,Indie
1789030,RPG
1789030,Simulation
1981500,Adventure
1981500,RPG
3055530,Adventure
3055530,Casual
3055530,Indie
3014110,Casual
3014110,Indie
2445090,Casual
2445090,Indie
2203210,Action
2203210,Strategy
1543430,Adventure
1543430,Indie
1543430,RPG
3685540,Casual
3685540,Indie
3600700,Racing
3600700,Sports
3465180,Casual
3465180,Indie
3465180,Strategy
3385870,Action
2445060,Action
2445060,Adventure
2445060,Casual
2445060,Indie
3014090,Action
3014090,Adventure
3014090,Casual
3014090,Indie
3014090,RPG
3014090,Early Access
2203200,Action
2203200,Adventure
2203200,Casual
2203200,Indie
1461230,Casual
1378800,Action
1378800,Adventure
1378800,Indie
1378800,Racing
3600690,Racing
3465170,Simulation
